post_id,person,posted_at,text_clean,rule_topic,manual_topic
post_000063,Trump,2023-01-23 01:24:00,"Remember, we are talking about New York City as the Crime and Murder Capital of the World, where no murder case has even been tried by the D.A. in 6 years, and yet they spend tens of millions of dollars, view 11,000,000 pages of documents, years of investigation, and weeks in trial over the education of grandchildren, etc. Such a thing has never happened before. He was offered a DEAL if he pled GUILTY TO EVERYTHING - 90 days, or Life in Prison. Allen Weisselberg is a CRIME VICTIM, and so am I.",trade_policy,other
post_002683,Musk,2025-02-28 02:56:29,And Grok is improving faster,ai,ai
post_000102,Trump,2023-02-05 22:04:46,"Who sends a Billion Dollar blimp, with the most sophisticated equipment in the World, and large enough to hold ten cars or 3 large buses, into a complex pattern over the United States, without it quite possibly being manned, such as the manned spacecraft? China should have been called to ask. If no, shoot it down, if yes, negotiate the greatest deal EVER!",china,other
post_002691,Musk,2025-03-02 01:28:11,The Grok analysis sounds about right,ai,ai
post_000416,Musk,2023-06-07 09:35:11,The Tesla Plaid Model S is incredible,tesla_business,tesla_business
post_001264,Musk,2024-04-03 22:00:24,"Ethan is very talented, but vision chief would be overstating things. There are over 200 excellent engineers in the Tesla AIAutonomy team. Teslas pace of progress with autonomy is accelerating. The talent war for AI is the craziest talent war Ive ever seen!",tesla_business,tesla_business
post_000093,Musk,2023-02-03 00:06:07,Sucks that I had to sell so much Tesla stock to do so sigh,tesla_business,tesla_business
post_001538,Trump,2024-06-03 22:18:00,"We are moved by the outpouring of support for President Donald J. Trump. The American people saw right through Crooked Joe Bidens rigged trial, and sent Biden and Democrats a powerful message the REAL verdict will come on November 5th, said Trump Campaign senior advisers Chris LaCivita and Susie Wiles. President Trump raised $141 million in small donations alone this month because Americans remember the Roaring Economy, Secure Border, and Peace through Strength at home and abroad under President Donald J. Trump, and want us to return to prosperity and success when he is re-elected in November.",jobs_economy,other
post_000567,Trump,2023-08-17 21:56:14,"Bill Barr is a traitor!nIm glad he was FIRED!nBarr had the FBI FD-1023 form from the informant telling that Joe Biden took a $5 million dollar bribe while VP from the Oligarch who owned Burisma. nThe form is dated 6-30-2020!nBarr could have prosecuted Joe Biden and stopped him from ever becoming President, essentially stopping a stolen election! nBarr did nothing with the FBI 1023 form and information that the FBI paid $200,000 for. nHe gave it David Weiss and they buried the truth!",macro_economy,other
post_001041,Trump,2024-01-31 01:53:39,"Congresswoman Virginia Foxx is doing a terrific job fighting for the people of North Carolina in Congress.n nAs Chairwoman of the Committee on Education and the Workforce, Virginia is working hard to Champion Conservative Values, Grow our Economy, Secure the Border, Support our Military and Veterans, and Protect and Defend the Second Amendment, which is under siege by the Radical Left.n nCongresswoman Virginia Foxx is an America First Leader, and she has my Complete and Total Endorsement for Re-Election!",jobs_economy,other
post_001402,Musk,2024-05-11 01:36:37,"Now, apply this logic to Tesla",tesla_business,tesla_business
post_000322,Musk,2023-04-27 15:01:59,"Anyone making materially false statements on this platform will get Community Noted, including you, me, Tucker, advertisers, head of state, etc. No exceptions. Convince the people and let the chips fall where they may.",semiconductor,other
